,Unnamed: 0,file,max_detection_conf,detections
0,3,91c938f2-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.404, 0.394, 0.262, 0.348]}, {'category': '2', 'conf': 0.387, 'bbox': [0.334, 0.432, 0.056, 0.195]}]"
2,7,89020d70-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.828, 0.032, 0.171, 0.708]}, {'category': '1', 'conf': 0.133, 'bbox': [0.102, 0.377, 0.068, 0.071]}]"
4,13,8d49eb14-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.517, 0.45, 0.481, 0.539]}, {'category': '1', 'conf': 0.972, 'bbox': [0.001, 0.352, 0.165, 0.629]}, {'category': '1', 'conf': 0.944, 'bbox': [0.059, 0.72, 0.403, 0.264]}, {'category': '1', 'conf': 0.318, 'bbox': [0.025, 0.359, 0.423, 0.6]}]"
5,14,94c4401a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.21, 0.571, 0.358, 0.36]}]"
8,27,8e57f3e8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.001, 0.386, 0.278, 0.408]}, {'category': '1', 'conf': 0.993, 'bbox': [0.962, 0.369, 0.037, 0.134]}]"
12,52,9915c4b8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.011, 0.328, 0.979]}]"
14,56,86ac662e-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.773, 0.317, 0.22, 0.293]}, {'category': '1', 'conf': 0.999, 'bbox': [0.001, 0.38, 0.117, 0.383]}]"
18,72,914da638-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.003, 0.401, 0.824, 0.578]}]"
19,74,8da61718-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.176, 0.356, 0.234, 0.44]}, {'category': '1', 'conf': 0.77, 'bbox': [0.119, 0.474, 0.055, 0.209]}, {'category': '1', 'conf': 0.484, 'bbox': [0.109, 0.469, 0.089, 0.22]}]"
20,80,8a4e0936-21bc-11ea-a13a-137349068a90.jpg,0.992,"[{'category': '1', 'conf': 0.992, 'bbox': [0.032, 0.566, 0.841, 0.419]}, {'category': '1', 'conf': 0.88, 'bbox': [0.0, 0.546, 0.156, 0.444]}, {'category': '1', 'conf': 0.864, 'bbox': [0.098, 0.741, 0.789, 0.242]}, {'category': '1', 'conf': 0.648, 'bbox': [0.075, 0.883, 0.189, 0.101]}, {'category': '1', 'conf': 0.24, 'bbox': [0, 0.547, 0.263, 0.437]}]"
22,95,8daf8dfc-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.515, 0.439, 0.481, 0.549]}, {'category': '1', 'conf': 0.994, 'bbox': [0.005, 0.692, 0.486, 0.291]}, {'category': '1', 'conf': 0.987, 'bbox': [0.0, 0.207, 0.128, 0.702]}, {'category': '1', 'conf': 0.473, 'bbox': [0.007, 0.202, 0.418, 0.754]}]"
26,105,88c1d4e4-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.044, 0.019, 0.956, 0.952]}]"
32,126,975b4ec2-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.0, 0.54, 0.265, 0.426]}]"
35,143,952f39ba-21bc-11ea-a13a-137349068a90.jpg,0.904,"[{'category': '1', 'conf': 0.904, 'bbox': [0.594, 0.373, 0.07, 0.124]}]"
36,150,86761d58-21bc-11ea-a13a-137349068a90.jpg,0.997,"[{'category': '1', 'conf': 0.997, 'bbox': [0.134, 0.922, 0.034, 0.069]}, {'category': '1', 'conf': 0.962, 'bbox': [0.003, 0.899, 0.117, 0.087]}]"
38,155,8d2b5bd6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.229, 0.36, 0.129, 0.374]}]"
39,158,98549be4-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.073, 0.623, 0.777]}]"
40,167,87166d8a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.027, 0.01, 0.973, 0.978]}, {'category': '1', 'conf': 0.276, 'bbox': [0.707, 0.034, 0.29, 0.948]}, {'category': '1', 'conf': 0.228, 'bbox': [0.517, 0.025, 0.479, 0.925]}]"
47,196,955c2862-21bc-11ea-a13a-137349068a90.jpg,-0.994,"[{'category': '1', 'conf': -0.994, 'bbox': [0.752, 0.834, 0.247, 0.144]}]"
52,225,8cb57038-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.218, 0.022, 0.782, 0.966]}, {'category': '1', 'conf': 0.99, 'bbox': [0.426, 0.487, 0.552, 0.497]}, {'category': '1', 'conf': 0.947, 'bbox': [0.002, 0.643, 0.401, 0.341]}, {'category': '1', 'conf': 0.856, 'bbox': [0.003, 0.644, 0.128, 0.338]}, {'category': '1', 'conf': 0.81, 'bbox': [0.117, 0.876, 0.279, 0.108]}]"
56,240,86d854e6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.137, 0.397, 0.179, 0.231]}]"
58,243,947c5dfe-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.049, 0.451, 0.949, 0.539]}, {'category': '1', 'conf': 0.97, 'bbox': [0.003, 0.661, 0.351, 0.326]}, {'category': '1', 'conf': 0.495, 'bbox': [0.063, 0.633, 0.8, 0.345]}, {'category': '1', 'conf': 0.182, 'bbox': [0.388, 0.577, 0.049, 0.034]}]"
60,249,91228188-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.378, 0.444, 0.159, 0.163]}]"
61,251,91f43ebc-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.479, 0.395, 0.372, 0.473]}]"
64,273,9655e5e6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.122, 0.821, 0.294, 0.162]}]"
