,file,max_detection_conf,detections
3,91c938f2-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.404, 0.394, 0.262, 0.348]}, {'category': '2', 'conf': 0.387, 'bbox': [0.334, 0.432, 0.056, 0.195]}]"
6,987eeeda-21bc-11ea-a13a-137349068a90.jpg,0.236,"[{'category': '1', 'conf': 0.236, 'bbox': [0.7, 0.437, 0.024, 0.059]}, {'category': '1', 'conf': 0.176, 'bbox': [0.697, 0.446, 0.081, 0.216]}]"
7,89020d70-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.828, 0.032, 0.171, 0.708]}, {'category': '1', 'conf': 0.133, 'bbox': [0.102, 0.377, 0.068, 0.071]}]"
10,94f9ba88-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
13,8d49eb14-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.517, 0.45, 0.481, 0.539]}, {'category': '1', 'conf': 0.972, 'bbox': [0.001, 0.352, 0.165, 0.629]}, {'category': '1', 'conf': 0.944, 'bbox': [0.059, 0.72, 0.403, 0.264]}, {'category': '1', 'conf': 0.318, 'bbox': [0.025, 0.359, 0.423, 0.6]}]"
14,94c4401a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.21, 0.571, 0.358, 0.36]}]"
15,8c354cc8-21bc-11ea-a13a-137349068a90.jpg,0.237,"[{'category': '1', 'conf': 0.237, 'bbox': [0.591, 0.389, 0.086, 0.109]}]"
26,94eaedaa-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
27,8e57f3e8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.001, 0.386, 0.278, 0.408]}, {'category': '1', 'conf': 0.993, 'bbox': [0.962, 0.369, 0.037, 0.134]}]"
33,97f6db8a-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
34,929e855c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
46,88477fdc-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
52,9915c4b8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.011, 0.328, 0.979]}]"
54,8eb12404-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
56,86ac662e-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.773, 0.317, 0.22, 0.293]}, {'category': '1', 'conf': 0.999, 'bbox': [0.001, 0.38, 0.117, 0.383]}]"
58,96d900c0-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
63,8a8d03ac-21bc-11ea-a13a-137349068a90.jpg,0.293,"[{'category': '1', 'conf': 0.293, 'bbox': [0.125, 0.475, 0.111, 0.181]}, {'category': '1', 'conf': 0.106, 'bbox': [0.127, 0.472, 0.1, 0.071]}]"
67,98c6da74-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
